title,address,contentId,contentTypeId,tag,reason,cat1,cat2,cat3,cat1_name,cat2_name,cat3_name,mapx,mapy,overview
가시어멍김밥,제주특별자치도 제주시 월랑로 36,2837181,39,indoor,indoor:음식점 | outdoor:해변,A05,A0502,A05020100,음식점,한식,한식,126.4763302701,33.4888641378,"가시어멍김밥은 제주특별자치도 제주시 노형동에 위치한 분식집이다. 제주 공항과 10분 거리인 시내 중심가에 있어 공항 도착 전후의 한 끼 식사로 좋다. 가시어멍은 제주도 방언으로 장모님을 뜻한다. 제주 톳을 넣은 김밥으로 유명해지면서 지금은 전국에 체인점을 가진 가시어멍김밥의 본점이 되었다. 제주에서 자란 신선한 재료를 사용하며, 대표 메뉴는 가시어멍김밥과 김밥도시락세트이고 가시어멍충무김밥과, 한우 떡국도 많이 찾는다. 관광객의 경우 김밥을 포장하여 여행 다니는 사람들이 많다. 오전 7시에 영업을 시작해 아침식사로 먹기에도 좋다. 함께 둘러보기 좋은 주변 관광지로는 이호테우 해변과, 내도 알작지 해변 등이 있다."
가시오름,제주특별자치도 서귀포시 대정읍 하모이삼로21번길 1,1885754,12,outdoor,outdoor:공원/산/오름,A01,A0101,A01010400,자연관광지,국립공원,산,126.2500169782,33.2236315617,"가시오름은 서귀포시 대정읍 동일리에 있는 오름으로 옛날부터 오름 곳곳에 가시나무(물참나무)가 많이 자라고 있어 가시오름이라는 이름이 붙여졌다. 오름의 정상에는 남서쪽으로 벌어진 말굽형 분화구가 있다. 오름의 동남쪽은 가파르고 서북쪽은 대체로 완만한 편이며 높지 않아 정상까지 오르기 쉽다. 오름 탐방로가 잘 조성되어 있고 주변 모슬포오름과 대정읍 일대를 관망하는 풍경이 좋은 곳이다. 정상부까지 농로가 나 있고, 잡목과 함께 숲이 우거지고 그사이에 예덕나무, 보리수나무 등이 식생 하며, 일부 사면에는 중턱까지 경작지가 조성되어 있다. 내비게이션에 가시오름을 치고 가면 남서쪽 방향 우사 근처 도로변에 주차 가능하고, 다른 번지수 주소 대정동 동일리를 치고 가면 반대편 주차장에 주차 가능하다."
가파도,제주특별자치도 서귀포시 대정읍 가파로,126446,12,outdoor,outdoor:공원/섬/야외/해안,A01,A0101,A01011300,자연관광지,국립공원,섬,126.2735884192,33.1664326869,"제주도 부속섬 중 4번째로 큰 섬 가파도는 위에서 내려다보면 바다를 헤엄쳐 가는 가오리 모양을 하고 있다. 이름은 가오리(가파리)를 닮아 가파도가 되었다는 설과 덮개 모양을 닮아 개도(蓋島)로 부르던 것이 가파도라 굳어졌다는 설 등이 있다. 포구 근처에 자전거를 대여하는 곳도 있지만 오르막길이 없어 1~2시간이면 섬 전체를 도보로 둘러볼 수 있다. 또한 가파도 하면 빼놓을 수 없는 것이 청보리이다. 매년 4월 초에서 5월 초에 가파도 청보리 축제가 열리는데, 청보리 밭 걷기, 올레길 보물찾기, 야외 공연 등 다양한 행사가 열린다. 가파도의 보리는 키가 1m를 훌쩍 넘는다. 바람이 조금만 불어도 파도 너울 같은 보리 물결이 넘실댄다. 가파도의 청보리는 돌담과 바다가 어우러져 아름다운 풍경을 자아내면서 지금은 유명한 관광자원이 되었다. 청보리 관광과 올레길이 조성되면서 하루에도 정기적으로 3~4회의 여객선이 왕복 운항하는 섬이 되었다. <br><br>드라마 우리들의 블루스 촬영지
◎ 한류의 매력을 만나는 여행 정보 - 드라마 <우리들의 블루스>
드라마 ‘우리들의 블루스’ 11, 12화에서 영옥과 정준이 단둘이 여행을 떠나 행복한 시간을 보내는 장소, 바로 가파도다. 시원하게 펼쳐진 푸른 바다와 해안선을 따라 이어지는 풍경은 드라마 속 인물들의 설렘을 고스란히 전해준다."
각시바위오름,제주특별자치도 서귀포시 호근동 2124,1887368,12,outdoor,outdoor:공원/산/오름/폭포,A01,A0101,A01010400,자연관광지,국립공원,산,126.5259918298,33.2777271543,"각시바위오름은 기생화산으로 분화구의 형태는 원추형이다. 오름 정상에 있는 각시바위의 이름을 따서 각시바위오름이라고 불리게 되었다. 한자로는 각수악이라 하기도 하고 학의 날갯짓을 닮았다고 하여 학수악이라고도 한다. 오름의 북쪽 사면은 완만하며 숲이 무성하고 반면 남쪽 등성이는 매우 가파르다. 남쪽 등성이는 세 가닥의 등성마루가 뻗어 있는 듯한 모습으로 보인다. 남쪽 경사면 바로 아래 영산사 뒤쪽으로 오르는 등산길이 있으며 길에 깔린 조면암질의 돌들이 독특한 모양과 색을 띠고 있다. 각시바위라는 이름은 한 각시가 이 바위에서 떨어져 죽었다는 열녀 설화에서 따온 것이라고 한다. 정상부는 서귀포 앞바다를 전망할 수 있고, 주변의 좋은 경치로 인해 예로부터 선비들이 풍류를 즐겼던 곳이라고 한다. 주변에 가볼 만한 곳으로는 서귀포 치유의 숲, 엉또폭포, 고근산 등이 있다."
갈마못(갈뫼못),제주특별자치도 서귀포시 표선면 성읍리,1887381,12,outdoor,outdoor:공원/산,A01,A0101,A01010500,자연관광지,국립공원,자연생태관광지,126.8116979172,33.3873529469,"성읍리 사거리에서 성산으로 가는 도로변 남산봉 입구에 위치해 있는 연못으로 행정구역상 성산읍 신풍리에 해당되지만, 오히려 성읍에 가까워 소유도 성읍리 마을 소유이다. 풍수지리설에 의하면 이 못은 목마른 말이 물을 마시는 것과 같고 또 마소의 급수용으로 이용한 데서 연유하여 갈마못이라는 이름이 붙여졌다고 한다. 자연적으로 조성된 이 못은 아무리 가물어도 물이 마르지 않는다고 하며 중앙의 작은 못에는 돌담이 원형으로 둘러져 있고 예전에 식수로 이용되었던 흔적인 물팡돌이 놓여 있다. 물의 유입은 남산봉 화구 쪽에서 수로를 따라 유입되는 것으로 추정되며 이와 아울러 인위적으로 조성된 우수관이 도로변 밑으로 시설되어 연못으로 유입되고 있다. 못의 일부는 농업용수로 활용하기 위해 60㎡ 정도가 도로 높이로 매립되어 있으며 그 너머로는 농경지가 경작되고 있다. 중앙에 있는 작은 못에는 환경부 지정 보호야생식물인 순채가 군락을 이루며 자생하고 있고, 못의 가장자리 및 중앙부에는 대부분 기장대풀이 우점하고 있는 식생을 보이고 있는데, 전체적으로 기장대풀군락, 송이고랭이군락, 좀어리연꽃군락, 순채군락으로 구분될 수 있다. 기장대풀이 우점하는 지역은 주로 연못의 가장자리를 중심으로 비교적 수심이 10cm 이하로 택사, 골풀, 고마리 등이 분포하고 있다."
갈중이(천연염색체험),제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이,635593,12,outdoor,outdoor:산,A02,A0203,A02030200,역사관광지,농.산.어촌 체험,전통체험,126.3136584209,33.2351423980,"갈옷은 제주도에서 구하기 쉬운 감을 이용해 만든 옷을 말하며 제주에서 일상복으로 즐겨 입던 제주 전통 의상이다. 갈옷은 자외선 차단 효과와 통기성이 뛰어나며 탁월한 향균, 향취 작용 등 우수한 효능으로 민감한 피부에도 좋다고 알려져 있다. 
갈중이 천연염색은 감 재배부터 감옷 제조와 판매, 나아가 감옷 만들기 체험장을 운영하는 곳이다. 3대에 걸쳐 제주 전통 옷이자 문화유산인 갈옷을 지켜나가고 있는 곳이며 모든 공정을 제주 현지에서 직접하고 있다. 사계리 산방산 아래에 있으며 갈중이 현관 앞으로는 돌하르방이 놓여 있고 입구에 들어서면 감물 원단을 볼 수 있다. 뒤편 잔디밭은 감물 체험이 이루어지는 공간인 갈중이 천연 염색체험 마당이 있으며, 또 이곳에서 생산된  소품을 비롯한 갈옷 외에 감물과 쑥물로 염색된 침구 등도 구매가 가능하다. 5인 이상 관광객 및 단체에 한하여 사전 예약제로 운영하므로 방문 전 예약은 필수다."
갈치공장,제주특별자치도 제주시 해맞이해안로 1296,2853435,39,indoor,indoor:음식점/카페 | outdoor:해변/해안,A05,A0502,A05020100,음식점,한식,한식,126.8509745258,33.5319348245,"갈치공장은 제주 평대리 해맞이해안로 바닷가에 있다. 카페 같은 분위기의 높은 천장과 깔끔한 인테리어, 통유리창을 통해 바다를 바라보며 갈치조림, 갈치통구이와 전복음식을 맛볼 수 있다. 가격도 관광지 고물가에 비하면 좋은 편으로 오후 4시 30분까지 영업을 하지만, 재료가 소진되면 영업을 종료해 원하는 메뉴를 먹지 못할 수 있다. 근처 여행지로 세화5일장, 평대해변, 세화해변, 월정해변 등이 있다."
갈치바다 애월,"제주특별자치도 제주시 애월읍 애월로 15-1 1, 2층 갈치바다 애월",3545966,39,indoor,indoor:음식점 | outdoor:산,A05,A0502,A05020100,음식점,한식,한식,126.3110036236,33.4604452226,"제주시 애월읍에 위치한 갈치바다 애월점의 대표 메뉴는 ‘한 상 세트’이다. 구성은 통갈치구이와 순살갈치조림을 중심으로 전복버터구이, 전복미역국, 톳밥 등 다양한 해산물 요리가 함께 차려진다.
순살갈치조림은 갈치에 뼈 제거가 잘 되어 있어 남녀노소 누구나 먹기 편하며, 짜지 않고 깔끔한 양념, 감칠맛 중심의 조림이다. 신선한 제주 갈치를 사용해 풍미가 좋다. 탁 트인 오션뷰와 함께 즐기는 식사가 가능하다. 푸짐한 한 상 구성이며 부족한 반찬은 셀프바에서 자유롭게 추가할 수 있다."
갈치왕,제주특별자치도 서귀포시 일주서로 1146 (상예동),2783304,39,indoor,indoor:음식점 | outdoor:산,A05,A0502,A05020100,음식점,한식,한식,126.3907705168,33.2646820142,"제주 갈치왕은 당일 서귀포항에서 경매한 신선한 갈치를 공수해 저렴한 가격으로 제공하는 갈치 요리 전문점이다. 통갈치 해물찜과 갈치조림 세트는 해산물과 갈치의 풍성한 맛을 동시에 즐길 수 있으며, 밑반찬으로 나오는 옥돔구이, 고등어구이, 갈치회, 간장게장의 맛이 훌륭하다."
감귤카트,제주특별자치도 서귀포시 중문관광로 42 (색달동),3030930,28,indoor,indoor:몰/박물관/숙박/체험관 | outdoor:둘레길/레포츠/전망대,A03,A0302,A03020600,레포츠소개,수련시설,카트,126.4116189256,33.2549473066,"중문단지 내에 있어서 중문에 숙박한다면 접근성이 좋은 카트레이싱 시설로 상큼한 감귤모양의 헬맷을 쓰고 달리며 짜릿한 속도감을 느낄 수 있는 체험장이다. 2023년 5월부로 얼라이브카트에서 감귤카트로 브랜드를 변경하여 새롭게 단장했다. 새롭게 단장된 시설과 안전함, 제주의 아름다운 자연 속에서 쌓인 스트레스를 한방에 날려버린다. 직접 카트를 몰아보면 속도감에 놀라 가속페달을 감히 밟지는 못한다. 감귤카트는 박물관이 살아있다, 런닝맨 체험관과 같은 건물에 있어서 아이들 체험 위치로는 아주 좋다. 카트는 최신형과 오래된 것들이 함께 섞여 있고, 트랙이 넓지는 않아서 여러 번 돌 수 있다. 가족, 연인, 친구, 단체 누구나 체험 가능한 안전한 레저스포츠를 제공하기 위해 안전사고를 대비해 매우 엄격하게 규율을 지키도록 주의 사항들을 안내하고 있다. 카트가 낮고 바람이 많이 불어서 바지착용은 필수이고, 개인 소지품은 모두 입구에 있는 보관함에 놓고 카트를 타야 한다. 감귤카트 포토존에서 귀여운 주황색 감귤헬맷을 쓰고 기념사진을 찍을 수 있다. 또한 감귤카트 코스는 카트뿐만 아니라 주위의 둘레길을 걸으며 조형물과 함께 사진을 찍거나 다이노 전망대에 올라 감귤카트 전경을 감상할 수 있다. 차량 주행시 코스 서킷 내에서의 사진 촬영은 절대 금지하며, 태풍, 강풍, 장마 등 기상악화로 현장 운영이 불가할 수 있으므로 미리 문의하고 방문하면 된다."
감낭오름,제주특별자치도 서귀포시 안덕면 동광리 산41,1887493,12,outdoor,outdoor:공원/산/오름,A01,A0101,A01010400,자연관광지,국립공원,산,126.3497088457,33.3250274801,"감낭오름은 제주특별자치도 서귀포시 안덕면 동광리 북동쪽에 있는 측화산이다. 사면은 완만하고 북동쪽으로 벌어진 말굽형 화구를 이루고 있다. 화구쪽 사면은 풀밭을 이루고 그 외 사면은 삼나무 등이 있다. 감낭오름과 원물오름은 마치 샴쌍둥이처럼 등성이가 맞붙어 있어서, 소나무가 울창한 감낭오름으로 등산한 후에 원물오름으로 이동해 하산하는 코스가 유명하다. 소와 말이 노니는 잔디 탐방로를 지나 30분가량 올라가다 보면 정상에 도달한다. 쾌청한 날이면 감낭오름 정상에서 한라산과 산방산의 풍광과 더불어 국토의 끝자락에 있는 가파도까지 조망할 수 있다. 차량으로 10분 거리에 녹차밭과 녹차 디저트로 유명한 오설록이 있고, 카멜리아힐도 근거리에 있어 둘러보기 좋다."
감따남,제주특별자치도 서귀포시 월산로 16 1층,2854455,39,indoor,indoor:음식점/카페 | outdoor:산/야외/정원/폭포,A05,A0502,A05020900,음식점,한식,카페/전통찻집,126.4946032358,33.2620894948,"감따남은 서귀포 중산간서로 근처 올레 7-1코스, 엉또폭포로 향하는 길목에 있다. 이곳에서 3대째 감귤 농사를 짓고 있는 부부가 운영하는 정원 카페다. 반려동물과 함께라면 야외 정원을 이용할 수 있으며, 감따남 스냅 사진작가가 촬영하는 스냅사진을 예약하여 찍을 수 있다. 웨딩 스냅사진 촬영소로 입소문이 나면서 커플 여행자 방문이 많다. 10월부터는 감귤따기 체험프로그램을 운영하기도 한다. 주변 여행지로 엉또폭포, 고근산 등이 있다.
※ 반려동물 야외 정원 동반 가능"
갑선이오름,제주특별자치도 서귀포시 표선면 가시리,1887866,12,outdoor,outdoor:공원/산/오름,A01,A0101,A01010400,자연관광지,국립공원,산,126.7818122232,33.3608276172,"제주특별자치도 서귀포시 표선면 가시리에 있는 갑선이오름은 남서쪽으로 벌어진 말굽형 굼부리를 가지고 있으며, 오름 서쪽으로 가싯내가 지나가고, 서쪽에 가시리가 아늑하게 자리 잡고 있다. 북서쪽에는 설오름, 남쪽에는 가시오름이 있다. 갑선이오름의 갑선이는 제주 고유어로 보이는데, 그 뜻은 확실하지 않다. 한자 차용 표기로는 갑선악(甲先嶽), 갑선악(甲蟬嶽), 갑선악(甲旋嶽) 등으로 표기했다. 일부에서는 한자 차용 표기 갑선악(甲蟬嶽)의 ‘갑선(甲蟬)’을 중시하여, 허물을 벗지 못한 굼벵이나 매미처럼 생겼다는 데에서 이름이 유래했다고 전해진다. 갑선이오름의 주변 지역에는 주로 묘지와 과수원, 농경지가 조성되어 이용되고 있고, 마을과 오름 사이에 있는 가마천은 세화리 바닷가로 이어져 있다. 또한, 오름 기슭에는 삼나무가 조림되어 있는 한편, 오름 각사면에는 상록수와 낙엽수 등 혼효림의 울창한 숲을 이루고 있다."
강정마을 생태축제,제주특별자치도 서귀포시 이어도로 669 (강정동),3333177,15,outdoor,outdoor:캠핑,A02,A0207,A02070200,역사관광지,문화관광축제,일반축제,126.4870795041,33.2345451931,"강정마을 생태축제는 지금 껏 경험하지 못한 생태 체험+아웃도어 프로그램으로 구성 된 축제이다. 
기후변화의 세계적인 관심이 지역, 문화 속에도 밀도 있게 스며들고 있어, 일상 속 환경보호를 실천하고 생태 보전의 중요성을 알리는 
지속가능한 지역축제이다.  365일 마르지 않는 강정천에서 캠핑과 진정성 있는 다양한 생태프로그램들이 준비되어 있다."
강정천,제주특별자치도 서귀포시 강정동 (강정동),127050,12,outdoor,outdoor:계곡/공원/산/섬,A01,A0101,A01010900,자연관광지,국립공원,계곡,126.4747384130,33.2566620021,"강정천은 물이 많아 이름이  물 강(江) 물 정(汀)인 서귀포시 최남단 마을 강정마을 동쪽에 위치한 총길이 16km의 용천수 하천이다. 한라산의 천연 암반수가 사계절 내내 흐르고 1 급수 어종인 은어가 서식하고 있다.  또한 천연기념물인 원앙이 무리 지어 목격되기도 한다. 강정교 부근은 수심이 얕아 아이를 동반한 가족들이 물놀이 즐기기에 맞춤하며 가까이 제주 최대 규모의 사찰인 약천사를 비롯해 썰물 때만 건널 수 있는 서건도, 올레 7코스의 범섬까지 5분 거리에 있다. 수려한 자연경관과 맑은 물이 조화를 이루는 곳에서 더위를 날려보는 것도 제주에서 바다와는 또 다른 이색 체험이 될 것이다."
강정포구,제주특별자치도 서귀포시 말질로 291,2779517,12,mixed,indoor:몰 | outdoor:공원/산/오름/해안 | mixed:복합,A01,A0101,A01011400,자연관광지,국립공원,항구/포구,126.4750196034,33.2271624839,"해외 휴양지 못지않게 아름다운 자연을 가진 제주도, 그중에서도 서귀포 남쪽 해안을 바라보는 강정포구는 풍광이 멋진 곳으로 알려졌다. 해군 기지가 있는 이곳은 제주 민군 복합형 관광미항이 개장되면서 일반인들도 환상적인 일출과 일몰을 감상할 수 있게 됐다. 강정포구 안쪽으로 연결된 해 오름 노을길은 해안을 따라 걸을 수 있는 산책길이며, 많은 사진작가가 인생 사진을 찍기 위해 자주 찾는 명소이기도 하다. 산책길을 따라 그려진 벽화는 물론, 멀리 보이는 군산 오름, 대평 박수기정, 산방산, 송악산은 한 폭의 그림을 완성한다."
개오름,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162,1887873,12,outdoor,outdoor:공원/둘레길/산/오름,A01,A0101,A01010400,자연관광지,국립공원,산,126.7682286281,33.4238621040,"개오름은 제주도 서귀포시 표선면에 위치해 있다. 산정부의 남쪽이 정상이고 북쪽은 봉긋한 모양으로 부풀어 올라있어 그 사이가 다소 우묵져 있고, 동서사면으로는 작은 골이 얕게 파여 있는 기생화산체이다. 남동사면에는 해송과 삼나무가 조림되어 있고, 그 외 지역은 풀밭을 이루면서 어린나무와 함께 술패랭이, 가시쑥부쟁이, 낭아초, 피뿌리풀 등이 식생하고 있다. 오름모양이 개모양 같다 하여 개오름이라 부른다는 이야기가 있고 풍수지리의 형국설에서 나온 이름이라고 전해지기도 하며, 이 경우에 개오름은 한자로 狗岳(구악)이라고 표기하고 있다. 옛 지도에는 蓋岳(개악)이라고 표기돼 있는데, 이에 따라 산모양이 蓋(개) 즉, 밥그릇 뚜껑, 혹은 양산처럼 생겼다는 풀이가 있다. 정상까지 오르는 둘레길은 탐방이 가능하지만 둘레길 밑으로는 공동목장으로 원칙적으로는 지정된 코스 외에는 탐방이 불가하다. 특히 5얼에서 6월 말까지는 목장 내 말의 임신기간이어서 말들이 상당히 예민하고 방문객들로 인해 유산하는 경우도 종종 있으니 주의해야 한다."
